team,over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,player_out,wicket_kind,fielders
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,0,0,0,,,[]
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,1,0,1,,,[]
Royal Challengers Bengaluru,0,F du Plessis,I Sharma,V Kohli,1,0,1,,,[]
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,0,0,0,,,[]
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,2,0,2,,,[]
Royal Challengers Bengaluru,0,V Kohli,I Sharma,F du Plessis,6,0,6,,,[]
Royal Challengers Bengaluru,1,F du Plessis,KK Ahmed,V Kohli,0,0,0,,,[]
Royal Challengers Bengaluru,1,F du Plessis,KK Ahmed,V Kohli,4,0,4,,,[]
Royal Challengers Bengaluru,1,F du Plessis,KK Ahmed,V Kohli,0,1,1,,,[]
Royal Challengers Bengaluru,1,V Kohli,KK Ahmed,F du Plessis,1,0,1,,,[]
Royal Challengers Bengaluru,1,F du Plessis,KK Ahmed,V Kohli,1,0,1,,,[]
Royal Challengers Bengaluru,1,V Kohli,KK Ahmed,F du Plessis,6,0,6,,,[]
Royal Challengers Bengaluru,2,F du Plessis,Mukesh Kumar,V Kohli,0,0,0,,,[]
Royal Challengers Bengaluru,2,F du Plessis,Mukesh Kumar,V Kohli,0,0,0,F du Plessis,caught,['J Fraser-McGurk']
Royal Challengers Bengaluru,2,WG Jacks,Mukesh Kumar,V Kohli,1,0,1,,,[]
Royal Challengers Bengaluru,2,V Kohli,Mukesh Kumar,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,2,V Kohli,Mukesh Kumar,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,2,WG Jacks,Mukesh Kumar,V Kohli,0,0,0,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,4,0,4,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,6,0,6,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,0,1,1,,,[]
Royal Challengers Bengaluru,3,V Kohli,I Sharma,WG Jacks,0,0,0,V Kohli,caught,['Abishek Porel']
Royal Challengers Bengaluru,3,RM Patidar,I Sharma,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,3,RM Patidar,I Sharma,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,4,0,4,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,2,0,2,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,4,0,4,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,4,0,4,,,[]
Royal Challengers Bengaluru,4,RM Patidar,Mukesh Kumar,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,5,WG Jacks,AR Patel,RM Patidar,0,0,0,,,[]
Royal Challengers Bengaluru,5,WG Jacks,AR Patel,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,5,RM Patidar,AR Patel,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,5,RM Patidar,AR Patel,WG Jacks,6,0,6,,,[]
Royal Challengers Bengaluru,5,RM Patidar,AR Patel,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,5,WG Jacks,AR Patel,RM Patidar,2,0,2,,,[]
Royal Challengers Bengaluru,6,RM Patidar,Kuldeep Yadav,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,6,RM Patidar,Kuldeep Yadav,WG Jacks,6,0,6,,,[]
Royal Challengers Bengaluru,6,RM Patidar,Kuldeep Yadav,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,6,WG Jacks,Kuldeep Yadav,RM Patidar,6,0,6,,,[]
Royal Challengers Bengaluru,6,WG Jacks,Kuldeep Yadav,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,6,RM Patidar,Kuldeep Yadav,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,7,WG Jacks,AR Patel,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,7,WG Jacks,AR Patel,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,WG Jacks,6,0,6,,,[]
Royal Challengers Bengaluru,7,RM Patidar,AR Patel,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,8,RM Patidar,Kuldeep Yadav,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,8,WG Jacks,Kuldeep Yadav,RM Patidar,6,0,6,,,[]
Royal Challengers Bengaluru,8,WG Jacks,Kuldeep Yadav,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,8,RM Patidar,Kuldeep Yadav,WG Jacks,2,0,2,,,[]
Royal Challengers Bengaluru,8,RM Patidar,Kuldeep Yadav,WG Jacks,0,1,1,,,[]
Royal Challengers Bengaluru,8,RM Patidar,Kuldeep Yadav,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,8,WG Jacks,Kuldeep Yadav,RM Patidar,0,0,0,,,[]
Royal Challengers Bengaluru,9,RM Patidar,KK Ahmed,WG Jacks,2,0,2,,,[]
Royal Challengers Bengaluru,9,RM Patidar,KK Ahmed,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,9,WG Jacks,KK Ahmed,RM Patidar,4,0,4,,,[]
Royal Challengers Bengaluru,9,WG Jacks,KK Ahmed,RM Patidar,2,0,2,,,[]
Royal Challengers Bengaluru,9,WG Jacks,KK Ahmed,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,9,RM Patidar,KK Ahmed,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,10,RM Patidar,Rasikh Salam,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,10,WG Jacks,Rasikh Salam,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,10,RM Patidar,Rasikh Salam,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,10,RM Patidar,Rasikh Salam,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,10,WG Jacks,Rasikh Salam,RM Patidar,0,0,0,,,[]
Royal Challengers Bengaluru,10,WG Jacks,Rasikh Salam,RM Patidar,0,1,1,,,[]
Royal Challengers Bengaluru,10,WG Jacks,Rasikh Salam,RM Patidar,4,0,4,,,[]
Royal Challengers Bengaluru,11,RM Patidar,KK Ahmed,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,11,WG Jacks,KK Ahmed,RM Patidar,0,0,0,,,[]
Royal Challengers Bengaluru,11,WG Jacks,KK Ahmed,RM Patidar,0,0,0,,,[]
Royal Challengers Bengaluru,11,WG Jacks,KK Ahmed,RM Patidar,0,0,0,,,[]
Royal Challengers Bengaluru,11,WG Jacks,KK Ahmed,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,11,RM Patidar,KK Ahmed,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,12,RM Patidar,Rasikh Salam,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,12,WG Jacks,Rasikh Salam,RM Patidar,1,0,1,,,[]
Royal Challengers Bengaluru,12,RM Patidar,Rasikh Salam,WG Jacks,0,1,1,,,[]
Royal Challengers Bengaluru,12,RM Patidar,Rasikh Salam,WG Jacks,0,0,0,RM Patidar,caught,['AR Patel']
Royal Challengers Bengaluru,12,C Green,Rasikh Salam,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,12,WG Jacks,Rasikh Salam,C Green,4,0,4,,,[]
Royal Challengers Bengaluru,12,WG Jacks,Rasikh Salam,C Green,2,0,2,,,[]
Royal Challengers Bengaluru,13,C Green,AR Patel,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,13,C Green,AR Patel,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,13,WG Jacks,AR Patel,C Green,0,0,0,,,[]
Royal Challengers Bengaluru,13,WG Jacks,AR Patel,C Green,0,0,0,,,[]
Royal Challengers Bengaluru,13,WG Jacks,AR Patel,C Green,1,0,1,,,[]
Royal Challengers Bengaluru,13,C Green,AR Patel,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,14,C Green,Kuldeep Yadav,WG Jacks,2,0,2,,,[]
Royal Challengers Bengaluru,14,C Green,Kuldeep Yadav,WG Jacks,0,0,0,,,[]
Royal Challengers Bengaluru,14,C Green,Kuldeep Yadav,WG Jacks,1,0,1,,,[]
Royal Challengers Bengaluru,14,WG Jacks,Kuldeep Yadav,C Green,0,0,0,WG Jacks,caught,['AR Patel']
Royal Challengers Bengaluru,14,MK Lomror,Kuldeep Yadav,C Green,1,0,1,,,[]
Royal Challengers Bengaluru,14,C Green,Kuldeep Yadav,MK Lomror,0,0,0,,,[]
Royal Challengers Bengaluru,15,MK Lomror,I Sharma,C Green,2,0,2,,,[]
Royal Challengers Bengaluru,15,MK Lomror,I Sharma,C Green,1,0,1,,,[]
Royal Challengers Bengaluru,15,C Green,I Sharma,MK Lomror,1,0,1,,,[]
Royal Challengers Bengaluru,15,MK Lomror,I Sharma,C Green,0,1,1,,,[]
Royal Challengers Bengaluru,15,MK Lomror,I Sharma,C Green,0,1,1,,,[]
Royal Challengers Bengaluru,15,MK Lomror,I Sharma,C Green,1,0,1,,,[]
Royal Challengers Bengaluru,15,C Green,I Sharma,MK Lomror,1,0,1,,,[]
Royal Challengers Bengaluru,15,MK Lomror,I Sharma,C Green,1,0,1,,,[]
Royal Challengers Bengaluru,16,MK Lomror,Kuldeep Yadav,C Green,1,0,1,,,[]
Royal Challengers Bengaluru,16,C Green,Kuldeep Yadav,MK Lomror,6,0,6,,,[]
Royal Challengers Bengaluru,16,C Green,Kuldeep Yadav,MK Lomror,6,0,6,,,[]
Royal Challengers Bengaluru,16,C Green,Kuldeep Yadav,MK Lomror,2,0,2,,,[]
Royal Challengers Bengaluru,16,C Green,Kuldeep Yadav,MK Lomror,0,1,1,,,[]
Royal Challengers Bengaluru,16,MK Lomror,Kuldeep Yadav,C Green,6,0,6,,,[]
Royal Challengers Bengaluru,17,C Green,KK Ahmed,MK Lomror,0,0,0,,,[]
Royal Challengers Bengaluru,17,C Green,KK Ahmed,MK Lomror,4,0,4,,,[]
Royal Challengers Bengaluru,17,C Green,KK Ahmed,MK Lomror,1,0,1,,,[]
Royal Challengers Bengaluru,17,MK Lomror,KK Ahmed,C Green,0,0,0,MK Lomror,caught,['Abishek Porel']
Royal Challengers Bengaluru,17,KD Karthik,KK Ahmed,C Green,0,0,0,,,[]
Royal Challengers Bengaluru,17,KD Karthik,KK Ahmed,C Green,0,0,0,KD Karthik,caught,['Kuldeep Yadav']
Royal Challengers Bengaluru,18,C Green,Rasikh Salam,Swapnil Singh,0,0,0,,,[]
Royal Challengers Bengaluru,18,C Green,Rasikh Salam,Swapnil Singh,1,0,1,,,[]
Royal Challengers Bengaluru,18,Swapnil Singh,Rasikh Salam,C Green,0,1,1,,,[]
Royal Challengers Bengaluru,18,Swapnil Singh,Rasikh Salam,C Green,0,0,0,Swapnil Singh,caught,['Kumar Kushagra']
Royal Challengers Bengaluru,18,KV Sharma,Rasikh Salam,C Green,1,0,1,,,[]
Royal Challengers Bengaluru,18,C Green,Rasikh Salam,KV Sharma,1,0,1,,,[]
Royal Challengers Bengaluru,18,KV Sharma,Rasikh Salam,C Green,1,0,1,,,[]
Royal Challengers Bengaluru,19,KV Sharma,Mukesh Kumar,C Green,4,0,4,,,[]
Royal Challengers Bengaluru,19,KV Sharma,Mukesh Kumar,C Green,0,1,1,,,[]
Royal Challengers Bengaluru,19,C Green,Mukesh Kumar,KV Sharma,0,0,0,,,[]
Royal Challengers Bengaluru,19,C Green,Mukesh Kumar,KV Sharma,0,0,0,,,[]
Royal Challengers Bengaluru,19,C Green,Mukesh Kumar,KV Sharma,1,0,1,KV Sharma,run out,"['SD Hope', 'Mukesh Kumar']"
Royal Challengers Bengaluru,19,C Green,Mukesh Kumar,Mohammed Siraj,2,0,2,Mohammed Siraj,run out,"['Abishek Porel', 'Mukesh Kumar']"
Delhi Capitals,0,DA Warner,Swapnil Singh,J Fraser-McGurk,1,0,1,,,[]
Delhi Capitals,0,J Fraser-McGurk,Swapnil Singh,DA Warner,6,0,6,,,[]
Delhi Capitals,0,J Fraser-McGurk,Swapnil Singh,DA Warner,1,0,1,,,[]
Delhi Capitals,0,DA Warner,Swapnil Singh,J Fraser-McGurk,0,0,0,DA Warner,caught,['WG Jacks']
Delhi Capitals,0,Abishek Porel,Swapnil Singh,J Fraser-McGurk,1,0,1,,,[]
Delhi Capitals,0,J Fraser-McGurk,Swapnil Singh,Abishek Porel,0,0,0,,,[]
Delhi Capitals,1,Abishek Porel,Mohammed Siraj,J Fraser-McGurk,1,0,1,,,[]
Delhi Capitals,1,J Fraser-McGurk,Mohammed Siraj,Abishek Porel,0,0,0,,,[]
Delhi Capitals,1,J Fraser-McGurk,Mohammed Siraj,Abishek Porel,6,0,6,,,[]
Delhi Capitals,1,J Fraser-McGurk,Mohammed Siraj,Abishek Porel,0,0,0,,,[]
Delhi Capitals,1,J Fraser-McGurk,Mohammed Siraj,Abishek Porel,4,0,4,,,[]
Delhi Capitals,1,J Fraser-McGurk,Mohammed Siraj,Abishek Porel,4,0,4,,,[]
Delhi Capitals,2,Abishek Porel,Yash Dayal,J Fraser-McGurk,0,0,0,Abishek Porel,caught,['LH Ferguson']
Delhi Capitals,2,SD Hope,Yash Dayal,J Fraser-McGurk,0,0,0,J Fraser-McGurk,run out,['Yash Dayal']
Delhi Capitals,2,SD Hope,Yash Dayal,Kumar Kushagra,0,0,0,,,[]
Delhi Capitals,2,SD Hope,Yash Dayal,Kumar Kushagra,4,0,4,,,[]
Delhi Capitals,2,SD Hope,Yash Dayal,Kumar Kushagra,0,0,0,,,[]
Delhi Capitals,2,SD Hope,Yash Dayal,Kumar Kushagra,0,0,0,,,[]
Delhi Capitals,3,Kumar Kushagra,Mohammed Siraj,SD Hope,2,0,2,,,[]
Delhi Capitals,3,Kumar Kushagra,Mohammed Siraj,SD Hope,0,0,0,,,[]
Delhi Capitals,3,Kumar Kushagra,Mohammed Siraj,SD Hope,0,0,0,Kumar Kushagra,lbw,[]
Delhi Capitals,3,AR Patel,Mohammed Siraj,SD Hope,0,0,0,,,[]
Delhi Capitals,3,AR Patel,Mohammed Siraj,SD Hope,0,0,0,,,[]
Delhi Capitals,3,AR Patel,Mohammed Siraj,SD Hope,0,0,0,,,[]
Delhi Capitals,4,SD Hope,Yash Dayal,AR Patel,4,0,4,,,[]
Delhi Capitals,4,SD Hope,Yash Dayal,AR Patel,0,0,0,,,[]
Delhi Capitals,4,SD Hope,Yash Dayal,AR Patel,4,0,4,,,[]
Delhi Capitals,4,SD Hope,Yash Dayal,AR Patel,4,0,4,,,[]
Delhi Capitals,4,SD Hope,Yash Dayal,AR Patel,0,0,0,,,[]
Delhi Capitals,4,SD Hope,Yash Dayal,AR Patel,1,0,1,,,[]
Delhi Capitals,5,SD Hope,Mohammed Siraj,AR Patel,1,0,1,,,[]
Delhi Capitals,5,AR Patel,Mohammed Siraj,SD Hope,4,0,4,,,[]
Delhi Capitals,5,AR Patel,Mohammed Siraj,SD Hope,0,0,0,,,[]
Delhi Capitals,5,AR Patel,Mohammed Siraj,SD Hope,2,0,2,,,[]
Delhi Capitals,5,AR Patel,Mohammed Siraj,SD Hope,0,0,0,,,[]
Delhi Capitals,5,AR Patel,Mohammed Siraj,SD Hope,4,0,4,,,[]
Delhi Capitals,6,SD Hope,KV Sharma,AR Patel,1,0,1,,,[]
Delhi Capitals,6,AR Patel,KV Sharma,SD Hope,1,0,1,,,[]
Delhi Capitals,6,SD Hope,KV Sharma,AR Patel,1,0,1,,,[]
Delhi Capitals,6,AR Patel,KV Sharma,SD Hope,1,0,1,,,[]
Delhi Capitals,6,SD Hope,KV Sharma,AR Patel,1,0,1,,,[]
Delhi Capitals,6,AR Patel,KV Sharma,SD Hope,4,0,4,,,[]
Delhi Capitals,7,SD Hope,LH Ferguson,AR Patel,2,0,2,,,[]
Delhi Capitals,7,SD Hope,LH Ferguson,AR Patel,1,0,1,,,[]
Delhi Capitals,7,AR Patel,LH Ferguson,SD Hope,1,0,1,,,[]
Delhi Capitals,7,SD Hope,LH Ferguson,AR Patel,2,0,2,,,[]
Delhi Capitals,7,SD Hope,LH Ferguson,AR Patel,1,0,1,,,[]
Delhi Capitals,7,AR Patel,LH Ferguson,SD Hope,0,1,1,,,[]
Delhi Capitals,8,AR Patel,C Green,SD Hope,4,0,4,,,[]
Delhi Capitals,8,AR Patel,C Green,SD Hope,2,0,2,,,[]
Delhi Capitals,8,AR Patel,C Green,SD Hope,1,0,1,,,[]
Delhi Capitals,8,SD Hope,C Green,AR Patel,0,0,0,,,[]
Delhi Capitals,8,SD Hope,C Green,AR Patel,2,0,2,,,[]
Delhi Capitals,8,SD Hope,C Green,AR Patel,0,1,1,,,[]
Delhi Capitals,8,SD Hope,C Green,AR Patel,0,0,0,,,[]
Delhi Capitals,9,AR Patel,LH Ferguson,SD Hope,4,0,4,,,[]
Delhi Capitals,9,AR Patel,LH Ferguson,SD Hope,1,0,1,,,[]
Delhi Capitals,9,SD Hope,LH Ferguson,AR Patel,0,0,0,SD Hope,caught,['KV Sharma']
Delhi Capitals,9,T Stubbs,LH Ferguson,AR Patel,0,0,0,,,[]
Delhi Capitals,9,T Stubbs,LH Ferguson,AR Patel,1,0,1,,,[]
Delhi Capitals,9,AR Patel,LH Ferguson,T Stubbs,0,0,0,,,[]
Delhi Capitals,10,T Stubbs,C Green,AR Patel,1,0,1,,,[]
Delhi Capitals,10,AR Patel,C Green,T Stubbs,1,0,1,,,[]
Delhi Capitals,10,T Stubbs,C Green,AR Patel,1,0,1,,,[]
Delhi Capitals,10,AR Patel,C Green,T Stubbs,0,0,0,,,[]
Delhi Capitals,10,AR Patel,C Green,T Stubbs,0,0,0,,,[]
Delhi Capitals,10,AR Patel,C Green,T Stubbs,0,0,0,T Stubbs,run out,['C Green']
Delhi Capitals,11,Rasikh Salam,KV Sharma,AR Patel,0,0,0,,,[]
Delhi Capitals,11,Rasikh Salam,KV Sharma,AR Patel,1,0,1,,,[]
Delhi Capitals,11,AR Patel,KV Sharma,Rasikh Salam,6,0,6,,,[]
Delhi Capitals,11,AR Patel,KV Sharma,Rasikh Salam,2,0,2,,,[]
Delhi Capitals,11,AR Patel,KV Sharma,Rasikh Salam,1,0,1,,,[]
Delhi Capitals,11,Rasikh Salam,KV Sharma,AR Patel,0,0,0,,,[]
Delhi Capitals,12,AR Patel,WG Jacks,Rasikh Salam,6,0,6,,,[]
Delhi Capitals,12,AR Patel,WG Jacks,Rasikh Salam,1,0,1,,,[]
Delhi Capitals,12,Rasikh Salam,WG Jacks,AR Patel,1,0,1,,,[]
Delhi Capitals,12,AR Patel,WG Jacks,Rasikh Salam,1,0,1,,,[]
Delhi Capitals,12,Rasikh Salam,WG Jacks,AR Patel,1,0,1,,,[]
Delhi Capitals,12,AR Patel,WG Jacks,Rasikh Salam,6,0,6,,,[]
Delhi Capitals,13,Rasikh Salam,LH Ferguson,AR Patel,4,0,4,,,[]
Delhi Capitals,13,Rasikh Salam,LH Ferguson,AR Patel,1,0,1,,,[]
Delhi Capitals,13,AR Patel,LH Ferguson,Rasikh Salam,1,0,1,,,[]
Delhi Capitals,13,Rasikh Salam,LH Ferguson,AR Patel,1,0,1,,,[]
Delhi Capitals,13,AR Patel,LH Ferguson,Rasikh Salam,1,0,1,,,[]
Delhi Capitals,13,Rasikh Salam,LH Ferguson,AR Patel,0,0,0,,,[]
Delhi Capitals,14,AR Patel,C Green,Rasikh Salam,0,0,0,,,[]
Delhi Capitals,14,AR Patel,C Green,Rasikh Salam,1,0,1,,,[]
Delhi Capitals,14,Rasikh Salam,C Green,AR Patel,0,0,0,,,[]
Delhi Capitals,14,Rasikh Salam,C Green,AR Patel,1,0,1,,,[]
Delhi Capitals,14,AR Patel,C Green,Rasikh Salam,1,0,1,,,[]
Delhi Capitals,14,Rasikh Salam,C Green,AR Patel,0,0,0,Rasikh Salam,caught,['WG Jacks']
Delhi Capitals,15,AR Patel,Yash Dayal,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,15,AR Patel,Yash Dayal,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,15,AR Patel,Yash Dayal,Kuldeep Yadav,0,1,1,,,[]
Delhi Capitals,15,AR Patel,Yash Dayal,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,15,AR Patel,Yash Dayal,Kuldeep Yadav,0,0,0,AR Patel,caught,['F du Plessis']
Delhi Capitals,15,Mukesh Kumar,Yash Dayal,Kuldeep Yadav,1,0,1,,,[]
Delhi Capitals,15,Kuldeep Yadav,Yash Dayal,Mukesh Kumar,1,0,1,,,[]
Delhi Capitals,16,Kuldeep Yadav,C Green,Mukesh Kumar,0,0,0,,,[]
Delhi Capitals,16,Kuldeep Yadav,C Green,Mukesh Kumar,1,0,1,,,[]
Delhi Capitals,16,Mukesh Kumar,C Green,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,16,Mukesh Kumar,C Green,Kuldeep Yadav,0,1,1,,,[]
Delhi Capitals,16,Mukesh Kumar,C Green,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,16,Mukesh Kumar,C Green,Kuldeep Yadav,1,0,1,,,[]
Delhi Capitals,16,Kuldeep Yadav,C Green,Mukesh Kumar,0,0,0,,,[]
Delhi Capitals,17,Mukesh Kumar,LH Ferguson,Kuldeep Yadav,1,0,1,,,[]
Delhi Capitals,17,Kuldeep Yadav,LH Ferguson,Mukesh Kumar,1,0,1,,,[]
Delhi Capitals,17,Mukesh Kumar,LH Ferguson,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,17,Mukesh Kumar,LH Ferguson,Kuldeep Yadav,0,0,0,Mukesh Kumar,caught,['MK Lomror']
Delhi Capitals,17,I Sharma,LH Ferguson,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,17,I Sharma,LH Ferguson,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,18,Kuldeep Yadav,Mohammed Siraj,I Sharma,2,0,2,,,[]
Delhi Capitals,18,Kuldeep Yadav,Mohammed Siraj,I Sharma,0,1,1,,,[]
Delhi Capitals,18,Kuldeep Yadav,Mohammed Siraj,I Sharma,0,0,0,,,[]
Delhi Capitals,18,Kuldeep Yadav,Mohammed Siraj,I Sharma,0,0,0,,,[]
Delhi Capitals,18,Kuldeep Yadav,Mohammed Siraj,I Sharma,1,0,1,,,[]
Delhi Capitals,18,I Sharma,Mohammed Siraj,Kuldeep Yadav,0,1,1,,,[]
Delhi Capitals,18,I Sharma,Mohammed Siraj,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,18,I Sharma,Mohammed Siraj,Kuldeep Yadav,0,0,0,,,[]
Delhi Capitals,19,Kuldeep Yadav,Yash Dayal,I Sharma,0,0,0,Kuldeep Yadav,bowled,[]
