ID,cnt_call,cnt_msg,cnt_wei,cnt_web
001964627,46,90,36,31
003107769,53,2,0,2
003686296,28,24,5,8
003961002,9,2,0,4
004174839,145,2,0,1
005068087,186,4,3,1
005574319,34,34,31,16
005733390,61,3,0,2
006148334,87,14,14,7
006190226,103,2,0,2
006794044,22,2,0,1
008806327,58,2,0,1
009337857,56,30,45,22
009545675,106,2,0,2
012830089,54,5,0,2
013088420,28,9,30,12
013830644,110,54,28,22
014321378,89,50,31,22
017432437,13,9,1,2
018297289,28,40,21,14
018633203,3,2,0,0
019006275,90,30,10,9
019501849,57,2,0,1
022213441,75,34,46,23
023746234,15,13,7,7
024574017,144,33,90,37
031203185,84,8,1,2
033523674,79,16,7,6
038470850,144,2,0,2
040524929,12,10,1,2
042571470,14,2,0,2
044444171,60,2,0,1
044733230,10,5,0,3
046056236,59,5,12,4
049342221,163,19,4,5
049853771,56,42,11,13
051873745,45,2,0,1
054493626,40,2,0,1
056918870,92,34,8,10
057335986,41,5,0,2
059319033,19,11,2,3
064837074,7,2,0,0
066008620,111,19,41,18
067695886,80,2,0,0
070393919,48,52,22,18
071533065,110,14,6,6
071601391,50,7,1,1
076205684,89,2,0,1
076856670,50,20,4,5
080175682,33,2,0,0
080532151,45,34,40,21
081616872,14,2,0,0
082578429,68,2,0,3
083350197,30,42,17,14
083644879,328,2,0,1
085307522,9,23,5,9
087241863,58,88,55,35
087469631,135,21,5,7
089616802,190,16,53,21
090120796,33,2,23,8
092749578,44,10,30,12
093567222,36,4,14,5
095011593,79,2,6,2
096766333,13,2,0,0
098409940,124,9,1,4
098988350,14,2,0,0
100050907,57,2,0,1
101124040,63,5,0,2
104011739,43,37,10,9
105023634,39,2,0,0
105080681,13,4,0,1
105103356,23,14,15,10
107977170,110,32,8,8
108669317,7,29,14,10
115103248,65,2,0,0
118563063,101,25,30,17
119043769,144,2,0,1
119597006,75,2,0,0
120129156,46,23,13,10
121518058,70,2,0,1
122042785,133,19,105,39
125419152,4,6,0,4
128254222,10,2,0,0
128326127,8,6,0,3
129176318,120,2,0,2
130055921,12,2,0,2
130078026,81,2,8,4
136274207,7,11,2,5
136322860,174,21,5,8
137042222,286,2,0,0
138730564,116,30,19,10
140385122,24,20,4,7
140463210,25,7,1,4
142437323,38,29,29,16
143920827,45,18,12,8
147221477,16,6,0,2
148303754,40,7,8,4
151423050,49,34,9,9
152309015,17,9,48,18
153564854,152,24,5,8
154501820,259,21,5,6
155357211,38,2,0,1
156868289,69,6,53,19
157261209,165,17,3,4
157775478,7,4,0,0
162645333,47,25,6,7
162886701,56,15,3,5
163529785,85,16,4,5
164763253,79,2,0,4
165804830,10,3,0,0
168754193,20,5,0,2
168764830,61,37,57,26
168840229,137,24,75,31
169886881,24,30,94,39
170126716,176,40,11,13
170871624,30,16,36,14
171753874,39,2,35,13
175386308,7,11,2,6
176105780,16,2,0,2
176376649,60,115,159,77
177129638,9,12,4,5
177710649,105,10,2,3
178008696,36,15,4,5
178468702,6,2,0,1
181051663,28,15,4,4
182141494,13,2,0,0
185172771,14,28,22,12
187902501,52,2,0,1
189628669,98,37,31,18
190351908,119,2,0,1
191185562,98,2,0,1
191244383,74,45,12,13
192635000,11,5,0,2
192646586,15,2,0,1
192687201,10,10,2,2
193272768,24,25,18,10
193419148,62,26,50,23
193450876,18,2,0,1
193772712,107,3,0,3
198425150,15,11,2,4
198477840,81,2,0,0
198659389,140,2,0,1
199251899,147,44,12,12
202657878,17,2,0,0
203042801,47,2,12,5
204368269,40,74,19,20
204765109,47,2,0,2
206703691,62,12,2,3
206889690,49,2,0,1
211761132,50,2,0,0
215449998,4,5,0,1
217335228,121,11,13,9
218022716,70,55,19,17
218216440,34,43,25,15
218251830,30,12,2,3
220242626,63,7,1,1
221362115,7,10,2,3
224253857,72,31,36,19
224500170,41,44,46,24
225095226,12,2,0,0
226461814,51,27,18,12
227798415,58,20,5,7
229325525,28,2,0,2
229499324,20,2,0,1
229677653,118,24,7,6
231038265,110,24,54,23
232278654,14,23,5,8
232830575,46,11,2,2
233994349,11,2,0,0
234322379,93,14,7,4
234605761,38,7,2,3
235629625,47,27,55,23
235698973,5,4,0,2
238134152,33,20,7,7
239169161,77,11,19,8
240288690,31,2,0,1
240762769,36,17,23,12
242498032,113,74,60,34
243525808,47,52,58,29
243531708,135,7,73,25
244879228,148,27,17,13
246056082,210,2,0,1
250384566,166,50,77,36
251764291,83,34,17,14
251810754,66,39,27,18
252853220,35,29,7,8
254353144,36,14,8,4
257225967,150,2,0,2
261742482,67,2,0,0
264225572,5,2,0,1
264455199,30,73,19,20
270648342,57,33,14,11
271215695,58,43,41,22
271218445,56,31,48,22
273711983,46,2,0,2
275008090,143,40,148,58
276726625,167,8,57,20
277283908,73,28,102,41
282983900,152,23,30,15
284897498,133,25,6,10
286319548,85,3,0,1
289503865,171,14,10,8
292721037,13,3,0,1
294943851,7,2,0,2
295884239,123,28,11,11
295940261,70,25,6,7
297994041,49,20,4,5
304076405,729,10,2,2
308167734,7,2,0,1
310001595,52,2,0,1
311092829,54,8,7,5
313475031,81,12,12,7
314932328,12,10,2,3
315970539,15,18,4,6
317030510,25,34,8,9
322758859,103,4,44,16
324687072,101,5,0,3
325877779,17,51,13,14
326634395,66,15,20,11
327575126,16,2,0,0
330265163,21,35,122,47
330265949,70,46,11,12
333203708,68,18,51,20
336836057,144,30,7,8
340569949,34,72,34,27
343108714,48,6,61,23
344319344,35,44,30,19
345444952,100,2,0,1
345720692,213,2,0,2
346020003,68,2,0,2
347613964,32,9,8,4
348882956,32,11,21,12
349213426,11,2,0,1
350548517,97,31,20,14
350665021,20,6,0,1
351078587,16,3,0,2
351312836,68,12,2,3
354698510,92,10,2,3
354716830,157,34,11,9
354792280,55,26,50,20
356459709,10,2,0,0
357111303,20,19,91,34
358162030,251,23,5,7
360666444,32,2,0,0
361871527,120,11,2,2
362874964,105,30,9,10
365146902,15,2,0,0
365860229,28,2,0,2
367173963,84,28,40,20
375688431,78,31,26,16
376505122,35,40,11,10
376692017,102,29,20,12
377766421,73,22,38,19
378472849,129,2,0,1
383242049,9,28,6,9
384492406,179,7,18,6
384891198,4,3,0,0
385805472,29,2,0,0
387948195,118,10,12,8
392984608,103,31,17,11
393764674,11,40,10,13
394287936,87,13,3,5
395892189,130,54,133,54
396279836,119,29,8,8
399877282,94,8,2,2
401379469,122,18,31,13
402449552,80,42,92,38
402717068,11,50,30,20
402780161,46,2,0,1
403294078,65,42,10,13
403805130,77,2,0,0
406201146,19,10,2,6
410070392,49,40,14,11
411510105,11,2,0,1
413373958,16,2,0,1
417232208,335,2,0,2
418274123,92,60,15,17
419810729,115,32,45,21
423858722,119,50,49,26
430353698,49,23,10,8
430790027,155,2,0,2
435087249,100,18,35,14
435910345,15,22,5,7
438426230,22,2,0,0
438910180,39,3,0,2
442577005,98,76,20,22
444222959,12,2,0,0
445028776,14,2,0,2
447043685,37,19,4,5
452867822,42,2,0,1
455085174,65,2,0,2
455924458,13,2,0,0
456059645,124,46,11,13
458629065,84,2,0,1
458642206,18,2,0,0
462779857,86,2,0,2
467902384,76,26,28,15
468498662,44,60,44,26
468708662,39,92,75,43
470437598,19,23,8,7
470781859,21,12,7,3
471636216,104,15,4,6
472408093,48,2,0,0
474198174,39,24,7,9
476597091,299,2,0,1
477657737,18,2,0,1
477873550,39,80,31,24
477922043,100,2,0,0
478906375,71,50,25,19
479197700,77,2,2,2
479401506,56,20,4,5
479552306,38,22,11,8
480257379,17,8,1,0
482466956,13,2,0,1
482811141,23,23,16,11
483118700,63,9,22,9
483738000,48,44,36,20
483982930,21,42,10,11
486255587,59,10,1,4
488916278,43,7,3,3
489523596,10,2,0,0
489651183,51,19,11,8
489920977,13,2,0,2
490710942,90,9,1,3
491389162,133,2,0,1
492595299,38,15,20,9
493652994,376,25,49,20
493735234,158,19,76,31
494809813,33,29,7,9
495722705,13,2,0,2
497007887,66,42,46,24
497462799,98,29,7,8
497767311,45,34,10,11
497776544,35,2,0,1
502423820,21,4,0,2
505129228,34,28,6,7
505681500,74,7,5,3
509749667,47,13,2,4
519925068,160,40,11,13
520541916,105,17,3,4
523082179,43,2,0,2
523390654,61,12,9,7
524655821,486,37,45,24
524713690,11,19,16,10
527976247,52,10,54,20
529020378,22,2,0,2
532125100,25,13,27,13
532411315,28,58,162,66
535123721,59,19,4,5
535721744,20,20,51,21
535922130,135,19,4,7
536556002,45,10,1,5
536664276,96,49,12,15
539593685,69,47,12,15
540291272,51,2,0,2
543674226,156,10,1,5
543746587,38,2,1,3
545009339,101,26,22,12
545234790,152,2,0,2
547802603,13,18,4,4
548056973,61,4,0,0
552062896,11,3,0,1
552369098,40,2,0,1
554317772,2,3,0,1
554324963,13,9,1,3
555379264,10,2,0,1
555552154,49,34,51,24
558036968,181,45,55,27
558306285,12,2,0,1
559638324,13,14,14,7
561003868,10,20,7,7
563161555,213,2,0,2
566719682,67,19,16,10
568531799,99,2,0,2
569695490,43,10,1,2
569877596,43,12,11,7
571867042,34,7,1,2
571976021,48,2,0,2
574205255,35,32,19,14
575994348,48,3,9,5
577313418,10,2,0,0
578412313,11,27,6,8
579031491,55,26,50,23
579973017,14,6,0,4
580981235,82,2,0,0
581773639,24,56,14,13
583123681,141,9,1,1
584807224,69,20,158,58
587609179,106,16,3,5
589507892,121,10,3,3
591362700,52,8,10,6
591577054,36,2,0,0
592430068,49,25,30,14
593201235,46,16,7,6
593264201,58,12,14,8
596244596,39,28,62,25
598138224,143,21,8,7
598883375,58,63,46,28
600250936,23,34,8,9
600913566,93,40,17,16
601784559,88,10,38,14
602281615,81,2,0,2
604350016,10,2,0,1
611798503,15,2,0,2
614200055,42,12,2,4
615270207,34,63,30,22
617553313,68,2,0,0
619192689,91,4,0,0
620105739,67,4,0,0
621715163,77,2,0,3
625142619,72,32,8,9
626475754,13,2,0,1
627404797,20,2,0,1
629042564,63,13,35,15
629547279,4,6,0,0
630012022,82,2,21,9
630255521,12,2,0,2
634066419,31,19,4,7
634439388,43,14,4,4
635277388,64,29,17,10
635688238,19,108,42,34
635881317,47,2,0,0
636890074,18,7,1,2
639051396,77,25,10,8
639964508,62,32,9,8
640337161,55,30,28,15
641265316,79,2,0,0
641677722,7,10,1,3
642636074,39,53,22,18
644021697,3,2,0,2
644796571,100,50,33,21
645586747,16,14,4,4
645794972,165,35,94,38
646561461,36,11,3,5
659900820,113,7,1,2
660194097,25,22,15,10
660604731,10,3,0,0
661877968,30,63,16,17
662977430,127,2,0,0
664579271,173,2,0,1
666676324,402,2,0,0
666756456,78,95,52,36
666761558,209,25,8,9
671053761,88,22,9,8
671845060,9,8,1,3
674932407,62,22,38,16
676426784,39,16,74,29
676467048,110,32,31,18
676509327,15,5,0,1
678947954,64,37,13,10
682126197,11,20,4,6
684888661,83,2,0,0
685022257,129,15,3,4
685376162,69,2,0,1
685798745,43,20,18,10
686969673,16,2,0,0
688647604,11,2,0,1
689084566,15,5,0,2
692402551,56,25,10,8
694380312,48,20,32,14
696932273,43,17,6,7
697539758,58,58,53,28
698082185,36,26,7,8
699582886,83,9,1,3
702031302,10,26,6,6
702435137,70,27,6,8
703124286,19,68,17,19
704600057,78,52,149,59
705396948,83,2,0,3
706020739,54,10,3,3
710384631,27,2,0,0
712451029,13,2,0,0
713738344,58,73,20,20
714552701,21,2,0,0
714775856,12,8,3,5
714797559,88,15,28,11
714955919,86,20,34,16
715277139,89,2,0,0
718259860,9,40,23,15
718955394,86,31,56,27
719473522,21,2,0,1
722896108,55,7,5,2
723864727,184,2,0,0
724228916,61,44,54,27
727393472,29,22,20,10
729115343,69,24,30,17
733122336,23,49,12,13
737289482,11,2,0,1
737355159,78,6,0,3
738494206,35,2,0,0
741931256,23,2,0,2
742103587,4,39,11,11
744625870,106,3,1,2
745257584,28,28,6,8
747018468,31,16,6,5
750405765,78,13,24,10
750876578,122,24,70,29
751081613,125,2,0,0
753744433,68,10,7,6
753750148,20,2,0,0
754490732,231,31,7,9
756457131,31,3,0,1
756714381,10,2,0,1
757027883,44,34,17,13
757657380,30,2,0,2
763022682,8,2,0,1
763438914,108,21,35,15
765374277,80,2,0,0
767667414,22,22,5,8
769017661,25,18,8,9
770870518,50,20,7,7
771162661,91,33,56,27
771382011,120,35,48,24
771536390,15,2,0,2
775251741,33,19,4,5
777647299,64,3,93,32
778640322,22,8,1,2
780025948,23,2,0,0
780265790,130,19,4,5
782471890,93,55,49,25
785769312,20,7,1,3
785926706,20,18,4,5
786883721,148,2,0,2
787050187,85,56,14,17
788824628,146,10,1,4
790811017,29,22,5,6
791597950,21,33,10,11
794918439,82,2,0,1
799190132,105,3,2,1
799996314,28,40,28,15
801732286,124,2,0,2
801774153,28,7,1,1
801854349,9,4,0,3
804352250,90,35,26,16
805439926,26,63,30,23
805707029,14,34,8,8
808275317,14,2,0,0
809020301,64,7,35,15
809152787,174,2,0,1
809472636,29,23,32,16
810508758,34,14,3,3
811251535,8,3,0,1
811361730,130,14,3,4
811527642,18,10,1,3
811613308,24,21,5,6
811746889,151,37,33,20
812247422,35,16,26,12
812815928,69,9,1,3
815591156,57,11,2,5
816550526,16,2,0,1
817860500,37,9,16,7
818420495,44,2,0,2
819301171,68,12,17,9
820097434,39,10,1,3
820638414,130,22,25,15
821971694,17,58,15,16
822924554,7,2,0,1
827263122,28,10,59,20
827289703,67,2,0,1
827455556,51,2,0,0
828249474,40,24,24,14
830193699,102,2,2,3
830779168,21,27,30,15
830872601,79,55,83,39
831341708,168,85,25,25
832328163,6,35,8,10
834023775,73,17,6,8
834246904,57,2,0,2
835922789,5,2,0,0
836153399,11,12,2,3
836492864,83,10,2,2
836979149,26,12,4,6
840284195,35,18,58,22
840968003,77,19,33,15
841066674,37,20,61,24
842031118,11,3,0,3
842726846,14,11,2,4
844755930,89,2,0,0
844873772,534,2,0,2
845128007,97,15,29,11
846865121,184,26,120,45
847532100,157,15,3,4
848869447,93,18,4,6
850076195,27,23,5,6
853988097,32,6,0,2
854803361,12,2,0,0
856572591,36,2,0,2
857499063,20,7,8,5
858372252,7,6,0,0
858835129,13,2,0,0
861236242,38,18,14,9
862176646,65,10,1,2
863160098,12,11,2,4
865400405,19,4,2,2
867569094,92,186,50,51
867603400,33,11,26,10
868648555,7,24,5,7
870629335,82,18,96,35
872364552,58,18,12,8
873574458,133,2,0,2
